Timestamp,app ,hours listened
3/24/2023 20:41:53,Spotify,1
3/24/2023 21:14:05,Apple Music,1
3/24/2023 22:54:37,Apple Music,8
4/3/2023 13:21:13,Spotify,3
4/3/2023 13:21:23,Spotify,2
4/3/2023 13:25:04,Spotify,2
4/3/2023 13:25:09,Spotify,1
4/3/2023 13:25:55,Spotify,2
4/3/2023 13:25:58,Spotify,2.5
4/3/2023 13:26:51,Spotify,0
4/3/2023 13:29:00,Spotify,2
4/3/2023 13:30:29,Spotify,1
4/3/2023 13:31:41,Apple Music,3
4/3/2023 13:35:11,Apple Music,2
4/3/2023 13:37:35,Spotify,7
4/3/2023 13:39:32,Spotify,3
4/3/2023 13:41:37,Apple Music,3
4/3/2023 13:42:04,Spotify,1
4/3/2023 13:43:02,Spotify,5
4/3/2023 13:43:56,Spotify,4
4/3/2023 13:44:07,Apple Music,1
4/3/2023 13:45:23,Spotify,2
4/3/2023 13:46:42,Apple Music,3
4/3/2023 13:46:59,Apple Music,1
4/3/2023 13:47:08,Spotify,1
4/3/2023 13:47:44,Apple Music,1
4/3/2023 13:48:01,Spotify,8
4/3/2023 13:48:33,Spotify,3
4/3/2023 13:49:05,Spotify,12
4/3/2023 13:49:32,Spotify,2.5
4/3/2023 13:49:46,Spotify,3
4/3/2023 13:49:49,Spotify,1
4/3/2023 13:49:57,Apple Music,1
4/3/2023 13:50:06,Spotify,2
4/3/2023 13:50:15,Spotify,1
4/3/2023 13:50:15,Spotify,0
4/3/2023 13:51:14,Spotify,3
4/3/2023 13:52:12,Spotify,3
4/3/2023 13:52:19,Apple Music,2
4/3/2023 13:52:33,Spotify,2.5
4/3/2023 13:52:35,Apple Music,1
4/3/2023 13:53:28,Apple Music,1
4/3/2023 13:53:35,Spotify,5
4/3/2023 13:53:59,Apple Music,0
4/3/2023 13:55:43,Spotify,2
4/3/2023 13:56:35,Spotify,1
4/3/2023 13:57:04,Spotify,3
4/3/2023 13:57:34,Spotify,2
4/3/2023 13:57:36,Apple Music,8
4/3/2023 13:57:37,Spotify,1
4/3/2023 13:57:44,Apple Music,6
4/3/2023 13:57:50,Apple Music,2
4/3/2023 13:58:13,Spotify,4
4/3/2023 13:58:14,Spotify,2
4/3/2023 13:58:43,Apple Music,3
4/3/2023 13:58:43,Spotify,3
4/3/2023 13:59:04,Spotify,3
4/3/2023 13:59:05,Spotify,5
4/3/2023 13:59:29,Spotify,2
4/3/2023 13:59:48,Spotify,1
4/3/2023 14:00:02,Spotify,2
4/3/2023 14:00:04,Spotify,4
4/3/2023 14:00:09,Spotify,3
4/3/2023 14:00:14,Spotify,1
4/3/2023 14:00:16,Apple Music,8
4/3/2023 14:01:39,Spotify,0
4/3/2023 14:01:43,Apple Music,6
4/3/2023 14:01:45,Apple Music,2.5
4/3/2023 14:01:45,Spotify,4
4/3/2023 14:01:54,Spotify,7
4/3/2023 14:02:24,Apple Music,8
4/3/2023 14:02:36,Spotify,3
4/3/2023 14:02:44,Spotify,2.5
4/3/2023 14:02:46,Spotify,3
4/3/2023 14:02:46,Spotify,6
4/3/2023 14:02:57,Spotify,2
4/3/2023 14:03:02,Spotify,2
4/3/2023 14:03:16,Spotify,4
4/3/2023 14:03:17,Spotify,0
4/3/2023 14:03:33,Apple Music,4
4/3/2023 14:04:01,Spotify,3.5
4/3/2023 14:04:09,Spotify,5
4/3/2023 14:06:43,Apple Music,5
4/3/2023 14:07:03,Spotify,2.5
4/3/2023 14:07:53,Spotify,3
4/3/2023 14:07:59,Spotify,1
4/3/2023 14:08:16,Apple Music,2
4/3/2023 14:08:40,Spotify,0
4/3/2023 14:09:52,Apple Music,1
4/3/2023 14:12:29,Spotify,1.5
4/3/2023 14:13:49,Spotify,3
4/3/2023 14:13:51,Spotify,2
4/3/2023 14:13:52,Spotify,2
4/3/2023 14:14:23,Spotify,8
4/3/2023 14:14:32,Spotify,2
4/3/2023 14:14:39,Spotify,2
4/3/2023 14:14:53,Spotify,3
4/3/2023 14:14:53,Spotify,1.5
4/3/2023 14:15:28,Apple Music,2
4/3/2023 14:16:06,Spotify,5
4/3/2023 14:16:16,Apple Music,2
4/3/2023 14:16:32,Spotify,2.5
4/3/2023 14:17:03,Spotify,1
4/3/2023 14:19:07,Spotify,1
4/3/2023 14:20:29,Spotify,4
4/3/2023 14:21:04,Spotify,4
4/3/2023 14:22:33,Spotify,1
4/3/2023 14:22:41,Spotify,1
4/3/2023 14:22:49,Spotify,1
4/3/2023 14:25:06,Spotify,1
4/3/2023 14:26:37,Spotify,6
4/3/2023 14:32:03,Spotify,3
4/3/2023 14:35:30,Apple Music,1
